KÛd obce,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
574724,Barchov,170,113,113,"4,42 %","0,00 %","0,00 %","7,96 %","0,00 %","10,61 %","6,19 %","0,00 %","2,65 %","0,88 %","0,00 %","0,00 %","12,38 %","0,00 %","2,65 %","35,39 %","0,00 %","0,88 %","2,65 %","0,00 %","0,00 %","0,00 %","13,27 %","0,00 %"
574741,BezdÏkov,262,164,163,"11,04 %","0,00 %","0,00 %","3,06 %","0,00 %","8,58 %","5,52 %","4,29 %","0,61 %","1,22 %","0,00 %","0,00 %","12,26 %","0,00 %","4,29 %","35,58 %","0,00 %","0,61 %","1,84 %","2,45 %","1,22 %","0,00 %","6,74 %","0,61 %"
574783,Borek,226,161,159,"18,86 %","0,00 %","0,62 %","7,54 %","0,62 %","7,54 %","5,66 %","1,25 %","0,62 %","1,88 %","1,25 %","0,00 %","6,91 %","0,00 %","3,77 %","21,38 %","0,00 %","0,00 %","5,03 %","0,62 %","0,00 %","0,62 %","15,72 %","0,00 %"
574791,Brloh,193,149,149,"5,36 %","0,00 %","0,00 %","6,71 %","0,00 %","11,40 %","7,38 %","0,00 %","2,68 %","0,67 %","0,00 %","0,00 %","11,40 %","0,00 %","3,35 %","28,85 %","0,00 %","0,00 %","6,04 %","0,67 %","0,67 %","0,00 %","12,75 %","2,01 %"
574805,B¯ehy,833,576,573,"11,34 %","0,17 %","0,00 %","7,50 %","0,00 %","5,23 %","11,51 %","1,57 %","0,69 %","0,00 %","0,00 %","0,00 %","10,12 %","0,00 %","3,14 %","34,55 %","0,00 %","0,34 %","2,96 %","0,69 %","0,00 %","0,34 %","9,24 %","0,52 %"
574813,Bukovina nad Labem,187,139,138,"16,66 %","0,72 %","0,00 %","4,34 %","0,00 %","4,34 %","10,86 %","0,00 %","0,72 %","0,72 %","0,00 %","0,00 %","6,52 %","0,00 %","3,62 %","35,50 %","0,00 %","0,00 %","11,59 %","0,00 %","0,00 %","0,00 %","4,34 %","0,00 %"
574821,Bukovina u P¯elouËe,69,51,50,"8,00 %","0,00 %","0,00 %","12,00 %","0,00 %","8,00 %","6,00 %","2,00 %","6,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","34,00 %","0,00 %","0,00 %","2,00 %","0,00 %","0,00 %","0,00 %","20,00 %","2,00 %"
574830,Bukovka,316,207,206,"10,67 %","0,00 %","0,00 %","3,88 %","0,48 %","6,79 %","7,28 %","0,48 %","1,45 %","0,00 %","0,00 %","0,00 %","7,28 %","0,00 %","2,91 %","40,29 %","0,00 %","0,00 %","9,22 %","0,48 %","0,48 %","0,00 %","7,76 %","0,48 %"
574848,B˝öù,1 148,830,826,"12,46 %","0,12 %","0,60 %","4,23 %","0,12 %","8,11 %","4,72 %","1,57 %","0,96 %","2,78 %","0,00 %","0,48 %","12,83 %","0,12 %","6,90 %","26,51 %","0,12 %","0,24 %","7,62 %","0,96 %","0,00 %","0,48 %","7,99 %","0,00 %"
572799,»asy,167,113,113,"16,81 %","0,00 %","0,00 %","12,38 %","0,88 %","14,15 %","6,19 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,84 %","0,00 %","5,30 %","27,43 %","0,00 %","0,00 %","5,30 %","0,00 %","0,88 %","0,88 %","0,00 %","0,88 %"
574856,»eperka,891,618,614,"9,60 %","0,00 %","0,00 %","4,72 %","0,00 %","6,02 %","6,18 %","2,93 %","0,32 %","0,97 %","0,00 %","0,16 %","13,19 %","0,16 %","4,39 %","37,13 %","0,48 %","0,48 %","4,88 %","0,81 %","0,32 %","0,16 %","7,00 %","0,00 %"
574864,»epÌ,339,219,214,"16,35 %","0,00 %","0,46 %","4,20 %","0,00 %","3,27 %","5,60 %","0,46 %","0,00 %","2,33 %","0,00 %","0,00 %","13,55 %","0,00 %","4,67 %","35,98 %","0,00 %","0,00 %","5,60 %","0,00 %","0,46 %","0,46 %","6,54 %","0,00 %"
572896,»ern· u BohdanËe,376,249,246,"8,53 %","0,00 %","0,00 %","5,28 %","0,00 %","6,09 %","6,91 %","1,62 %","0,40 %","1,62 %","0,00 %","0,00 %","10,56 %","0,00 %","4,47 %","38,61 %","0,00 %","0,00 %","4,06 %","0,40 %","0,00 %","0,00 %","10,97 %","0,40 %"
574899,Daöice,1 618,941,936,"10,79 %","0,53 %","0,00 %","7,15 %","0,10 %","3,73 %","11,21 %","0,96 %","1,17 %","1,70 %","0,00 %","0,32 %","12,07 %","0,00 %","2,56 %","31,51 %","0,21 %","0,10 %","4,48 %","0,42 %","0,10 %","0,64 %","9,61 %","0,53 %"
574902,Dolany,318,194,194,"10,30 %","0,00 %","2,06 %","8,76 %","0,00 %","2,57 %","8,76 %","0,51 %","1,03 %","0,51 %","0,00 %","0,00 %","7,73 %","0,00 %","1,03 %","36,08 %","0,51 %","0,00 %","3,60 %","0,00 %","0,51 %","1,03 %","14,94 %","0,00 %"
574911,DolnÌ RoveÚ,1 607,989,984,"10,16 %","0,10 %","0,50 %","6,40 %","0,10 %","2,43 %","6,91 %","1,11 %","1,01 %","0,50 %","0,00 %","0,30 %","6,70 %","0,10 %","2,43 %","35,87 %","0,10 %","0,40 %","7,31 %","0,50 %","0,10 %","0,50 %","15,85 %","0,50 %"
